Method,top_k,window_size,Mean Needle Rank,% Needles at rank 1,Recall@k,Runtime,mmr_lambda,mmr_candidates,chunk_size,bm25_weight,faiss_weight
BM25,2,3.0,1.14,37.60%,0.429,00:01:20,,,,,
BM25,5,3.0,1.6,37.60%,0.532,00:01:19,,,,,
BM25,5,1.0,1.6,38.40%,0.533,00:00:29,,,,,
BM25,5,5.0,1.56,39.00%,0.524,00:02:08,,,,,
BM25,10,1.0,2.33,38.40%,0.604,00:00:30,,,,,
BM25,10,5.0,2.35,39.00%,0.598,00:02:05,,,,,
FAISS cos,2,3.0,1.17,35.60%,0.429,00:12:14,,,,,
FAISS cos,5,3.0,1.75,35.60%,0.549,00:11:46,,,,,
FAISS cos,5,1.0,1.51,53.30%,0.725,00:05:53,,,,,
FAISS cos,10,1.0,2.07,53.30%,0.794,00:05:49,,,,,
FAISS euc,2,3.0,1.17,35.60%,0.429,00:12:35,,,,,
FAISS euc,5,3.0,1.75,35.60%,0.549,00:12:45,,,,,
FAISS euc,5,1.0,1.51,53.30%,0.725,00:06:22,,,,,
FAISS euc,10,1.0,2.07,53.30%,0.794,00:06:20,,,,,
FAISS MMR,5,1.0,1.55,53.30%,0.766,00:05:29,0.7,20.0,,,
FAISS MMR,5,1.0,1.59,53.30%,0.748,00:05:35,0.5,20.0,,,
FAISS MMR,5,1.0,1.51,53.30%,0.749,00:05:27,0.9,20.0,,,
FAISS MMR,5,1.0,1.5,53.30%,0.753,00:05:18,0.7,10.0,,,
FAISS MMR,5,1.0,1.54,53.30%,0.763,00:07:11,0.7,50.0,,,
FAISS MMR,10,1.0,1.95,53.30%,0.818,00:06:17,0.7,20.0,,,
ColBERT,5,,1.69,47.70%,0.73,00:52:34,,,256.0,,
ColBERT,2,,1.23,40.40%,0.522,00:26:14,,,512.0,,
ColBERT,10,,2.29,50.40%,0.852,1:37:49,,,128.0,,
ColBERT,5,,1.67,50.40%,0.763,1:40:15,,,128.0,,
ColBERT,5,,1.57,53.50%,0.782,2:22:13,,,64.0,,
ColBERT,10,,2.09,53.50%,0.858,2:21:07,,,64.0,,
Hybrid,2,3.0,1.12,48.10%,0.549,00:14:19,,,,0.5,0.5
Hybrid,5,1.0,1.47,55.80%,0.739,00:06:57,,,,0.5,0.5
Hybrid,5,1.0,1.48,59.30%,0.766,00:06:21,,,,0.4,0.6
Hybrid,5,1.0,1.43,60.20%,0.772,00:06:08,,,,0.3,0.7
Hybrid,5,1.0,1.42,59.90%,0.763,00:06:02,,,,0.2,0.8
Hybrid,5,3.0,1.64,46.50%,0.682,00:13:09,,,,0.3,0.7
Hybrid,10,1.0,1.87,60.20%,0.83,00:06:08,,,,0.3,0.7
